age,income,dependents,has_property,has_car,credit_score,job_tenure,has_education,loan_amount,loan_period,delay_days
76,32181,3,0,1,814,28,1,142434,1770,0
69,52789,8,1,0,501,28,1,120887,1590,7
19,70535,1,0,1,325,26,1,188766,810,0
31,85271,1,0,1,525,29,1,406792,330,0
18,19974,2,0,1,618,34,1,155240,1560,43
51,74128,3,0,1,551,14,0,257944,420,0
67,34922,10,1,1,657,19,0,207532,240,3
27,54154,1,0,1,740,38,1,229763,660,0
61,76998,8,0,0,869,35,1,147957,90,0
61,41396,5,0,0,636,6,0,483916,120,12
20,32991,5,1,1,825,6,1,105646,960,8
35,32810,9,1,0,426,9,1,275549,1320,32
71,34539,7,1,1,704,34,0,185695,1800,35
46,84097,9,1,0,704,37,1,241330,1530,1
52,96062,3,0,1,695,36,1,239439,270,0
21,59064,3,0,0,465,0,1,351873,1290,12
49,100400,7,0,1,540,0,1,106811,180,0
75,28955,6,1,1,647,18,0,105486,1710,28
49,29538,0,0,1,338,32,1,183118,990,15
80,72503,9,0,1,493,15,0,227425,1020,1
19,43685,8,1,1,674,29,1,202325,1710,22
43,65813,4,1,1,889,2,1,286484,1170,4
21,47705,2,1,0,380,5,0,125772,1590,10
45,34165,2,1,0,597,14,0,126858,660,5
57,118027,3,1,1,521,3,1,593489,510,0
62,100853,8,0,1,688,24,0,243934,330,0
33,49473,4,0,1,514,2,1,513360,1230,39
62,34119,8,1,0,519,5,0,138119,600,4
42,16929,9,0,0,822,30,1,267557,330,18
21,23231,1,0,1,708,28,1,178434,1200,27
57,74493,5,1,1,571,16,1,103581,1590,1
47,39261,8,1,1,384,34,0,144576,870,6
20,14906,5,1,1,623,40,0,183587,600,19
47,13794,4,1,0,446,8,1,142544,750,20
42,58860,1,0,0,648,3,1,204629,1710,10
28,22883,4,0,0,708,4,0,179196,1080,24
41,128411,5,1,0,386,3,1,182877,1500,0
44,53848,5,1,0,743,15,1,126701,210,0
32,54868,5,0,1,474,30,1,211562,1560,10
24,93703,0,1,0,317,19,0,311808,780,0
42,44218,4,1,1,733,4,1,587589,720,37
35,107195,7,0,1,791,21,0,384255,150,0
65,12408,5,0,1,396,18,1,173610,1620,60
18,75691,8,0,0,826,2,0,172299,1260,1
28,39257,6,0,0,723,20,1,104396,930,5
63,141143,6,0,0,373,8,1,162741,360,0
53,82393,1,0,0,778,26,1,220345,1440,1
55,91068,8,1,0,554,15,1,277039,1260,0
64,44356,10,1,1,564,38,1,696521,1440,85
39,34143,6,1,0,779,16,0,323790,960,24
76,41037,3,0,0,337,0,1,200721,1350,15
61,48999,4,0,1,619,33,1,202121,1530,13
61,42445,7,0,0,808,5,0,246519,810,8
55,16624,2,1,1,863,23,0,298027,480,27
70,45519,6,0,1,841,9,0,205162,780,5
44,68011,3,1,0,581,13,1,109723,360,0
77,61388,6,0,0,323,16,1,249505,1320,6
73,79839,9,0,0,323,1,1,225006,1380,1
30,75036,3,1,0,565,16,1,151534,1800,2
60,59258,9,0,1,897,40,1,319230,750,3
24,79954,5,0,0,369,9,1,333322,420,0
76,31891,10,0,0,856,36,0,291573,360,10
55,84138,10,1,0,344,13,0,303164,690,0
36,53577,8,1,1,564,7,1,290373,630,3
19,92984,6,0,0,705,20,0,253201,840,0
37,73085,6,0,1,875,17,0,154754,660,0
48,37588,7,1,1,736,8,1,215424,1500,24
74,129708,4,1,0,496,0,0,186709,1740,0
18,100261,6,0,1,731,29,1,219423,1680,0
48,45220,3,0,0,801,23,0,257436,60,1
20,50499,9,1,1,746,28,0,374925,810,11
63,51059,4,0,0,789,27,0,111013,150,0
76,38600,7,1,0,360,25,0,225785,1470,23
40,95516,9,1,0,739,14,0,223016,870,0
57,82640,10,0,0,320,36,0,263114,180,0
68,15226,5,1,0,367,9,0,202001,150,11
31,41059,8,1,0,602,13,1,142354,1380,12
21,65550,5,1,1,715,14,1,120538,30,0
19,24297,2,0,1,318,27,0,189458,1410,35
29,23954,4,1,0,746,29,1,141249,1710,41
46,18881,0,1,1,687,17,1,363721,1110,59
35,23427,8,1,0,356,14,0,158538,1170,24
55,61844,6,1,1,524,20,1,146258,30,0
25,75770,4,1,1,387,35,1,231052,720,0
74,125626,9,1,0,578,36,0,123400,1530,0
43,76346,10,0,1,687,20,1,130714,1620,1
71,31374,10,1,0,889,2,0,793526,270,71
80,32686,3,0,0,742,30,0,121968,570,4
26,39707,4,1,0,319,16,0,121271,1200,8
41,10380,6,1,0,823,15,0,106019,450,13
41,119186,4,0,1,696,26,0,108284,240,0
73,48164,8,0,1,431,8,0,430657,180,6
66,66318,2,1,0,513,4,0,261753,750,1
74,74101,2,1,1,761,9,1,338108,720,1
